id,channel,handle,title,views,views_per_day,like_rate,comment_rate,duration,date,age_d,lang
SLjfjwn180U,Ishan Sharma,@IshanSharma7390,"How To Detect a ""Good"" person.",10938,1823,0.042,0.00064,43,20260817,6,en-US
FtyePPCE5q0,David Ondrej,@DavidOndrej,My Biggest AI Mistake...,39145,1779,0.025,0.00118,50,20260801,22,en-US
52_wce7E3aQ,David Ondrej,@DavidOndrej,The Most Important Paper in AI History,34582,1647,0.0267,0.00153,33,20260802,21,en-US
GR4cCUL51wU,David Ondrej,@DavidOndrej,New Cursor plan…,38630,1486,0.0295,0.00898,56,20260728,26,en-US
dx-0jU2Y0I4,AI News & Strategy Daily | Nate B Jones,@NateBJones,Open-source AI just took a scary turn #AI #cybersecurity #opensource #AIsafety #technology,24421,1437,0.0197,0.00328,29,20260806,17,en-US
sB_Y7ViXdMo,Ishan Sharma,@IshanSharma7390,The Psychology of Blaming Others!,18065,1390,0.0411,0.00055,47,20260810,13,en-US
p3Gqwtk-qAQ,David Ondrej,@DavidOndrej,Why I Run Agents Overnight,31631,1375,0.0255,0.00247,58,20260731,23,en-US
SVNLC4NLXjA,AI News & Strategy Daily | Nate B Jones,@NateBJones,How to use AI on a file you can't upload #AI #privacy #productivity #datasecurity #AItools,16606,1277,0.0149,0.0009,27,20260810,13,en-US
HHlWC6uAgkc,David Ondrej,@DavidOndrej,Zuck is finally back...,13219,1202,0.0185,0.00159,47,20260812,11,en-US
xX84A8g8seI,Varun Mayya,@VarunMayya,Why Doing More Makes You Forgettable,26120,1187,0.0446,0.00031,55,20260801,22,en-US
lMiHRN8pzn4,AI News & Strategy Daily | Nate B Jones,@NateBJones,ChatGPT 5.6 is a dumber model. I love it.,24091,1147,0.0104,0.00149,19,20260802,21,en-US
TRIO7lBfgNQ,AI News & Strategy Daily | Nate B Jones,@NateBJones,Don't tell AI what to do in 2026. Do this instead #AI #aiagents #Codex #Fable5 #automation,22115,1106,0.0243,0.00118,35,20260803,20,en-US
mssNUJmMJRg,Varun Mayya,@VarunMayya,The Ultimate Guide to End-to-End Project Management,17154,1072,0.0408,0.00017,49,20260807,16,en-US
bC2VZlkvWXQ,AI News & Strategy Daily | Nate B Jones,@NateBJones,Protect your family from voice AI scams. Here's how  #AI #scams #voicecloning #deepfakes,9378,1042,0.0255,0.00224,26,20260814,9,en-US
nYL2tunaHxA,AI News & Strategy Daily | Nate B Jones,@NateBJones,Why does everything look the same now? #AI #creativity #marketing #futureofwork #AItools,27926,963,0.0155,0.00115,32,20260725,29,en-US
uD0nZqCa1ik,Ishan Sharma,@IshanSharma7390,The 3-step trick to answer any interview question,15115,945,0.0378,0.00053,44,20260807,16,en-US
i-S99NwmsQA,David Ondrej,@DavidOndrej,Let agents write your tests,15010,834,0.0298,0.0024,79,20260805,18,en-US
6Zwns0Pppv8,Riley Brown,@rileybrownai,Genspark SecondBrain Note,3905,781,0.0241,0.00026,97,20260818,5,en-US
51wR7XT_uiA,AI News & Strategy Daily | Nate B Jones,@NateBJones,Kill the questions ... #AI #2026 #aiautomation,8486,771,0.0111,0.00024,22,20260812,11,en-US
9wBOqiGsQo8,AI News & Strategy Daily | Nate B Jones,@NateBJones,The AI hype is real #AI #AInews #tech #IPO #business,15991,695,0.0118,0.00069,37,20260731,23,en-US
0QCoAfMzSJE,AI News & Strategy Daily | Nate B Jones,@NateBJones,Stop overthinking which AI to use. Do this.,4095,682,0.0161,0.00195,22,20260817,6,en-US
08lTuvYITxQ,David Ondrej,@DavidOndrej,GUIs are not dead,11235,661,0.0215,0.00285,44,20260806,17,en-US
EbfUdXD2qS4,Varun Mayya,@VarunMayya,Is Wrapper the Real Cheat Code,12382,619,0.0405,0.00032,46,20260803,20,en-US
z8pjFF9-Vss,David Ondrej,@DavidOndrej,AI Concepts tier list,15794,526,0.0147,0.00184,27,20260724,30,en-US
_t-Hbg-3_CU,David Ondrej,@DavidOndrej,Opus 5 - better than Fable?,12960,480,0.0168,0.0027,62,20260727,27,en-US
LnIJ-F1nWMw,AI News & Strategy Daily | Nate B Jones,@NateBJones,Are Chinese AI models actually catching up?,8612,453,0.0248,0.00824,51,20260804,19,en-US
l_060SZwBeo,AI News & Strategy Daily | Nate B Jones,@NateBJones,The Fable 5 ban taught companies one thing #AI #Claude #Fable5 #AItools #tech,11260,450,0.0127,0.0008,18,20260729,25,en-US
k9Gd1fYYWa8,David Ondrej,@DavidOndrej,Remote Work is the #1 Productivity Killer,12261,423,0.0174,0.00473,40,20260725,29,en-US
s6UhfGdwhrM,AI News & Strategy Daily | Nate B Jones,@NateBJones,What AI privacy advice always misses,6860,381,0.0194,0.00087,36,20260805,18,en-US
nWzWlFAudoQ,David Ondrej,@DavidOndrej,Anthropic's shady tactics...,9375,375,0.0299,0.00277,63,20260729,25,en-US
TN3rglofqmE,AI News & Strategy Daily | Nate B Jones,@NateBJones,A hack to build cheaper agents #AI #aiagents #automation #productivity,7508,313,0.0218,0.00067,53,20260730,24,en-US
E5qThSVlFzY,Cole Medin,@ColeMedin,The Complete Local AI System with A Single NPM Install!,6739,293,0.0289,0.00223,155,20260731,23,en-US
NRCFWQC6Mx4,AI News & Strategy Daily | Nate B Jones,@NateBJones,Everyone's watching the wrong AI scoreboard #AI #OpenAI #AInews #tech #bigtech,7575,281,0.0174,0.0004,61,20260727,27,en-US
FyYRDeXbfW0,AI News & Strategy Daily | Nate B Jones,@NateBJones,How to pick an AI model in 2026,4437,171,0.0322,0.0018,93,20260728,26,en-US
4vpdYgVjVKw,Cole Medin,@ColeMedin,The Biggest Cloud Conference in the World Is 70% Hands On,1138,67,0.0167,0.00264,75,20260806,17,en-US
7A4s1UtOYv0,Vaibhav Sisinty,@vaibhavsisinty,Stop paying for AI NVIDIA made every top AI FREE,424208,3626,0.0471,0.00026,77,20260429,117,en-US
